City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,santa marta de ortigueira,43.6833,-7.85,292.18,66,51,1.34,ES,1728571522
349,cannonvale,-20.2833,148.7,296.81,79,43,5.29,AU,1728571523
350,talnakh,69.4865,88.3972,266.01,93,97,5.4,RU,1728571524
351,el dorado,38.7666,-120.5177,292.69,36,84,1.34,US,1728571526
352,lompoc,34.6391,-120.4579,285.09,85,55,2.57,US,1728571527
353,gejiu,23.306,103.1635,286.45,95,98,1.5,CN,1728571528
354,nurota,40.5614,65.6886,292.98,40,0,3.81,UZ,1728571530
355,mpophomeni,-29.5682,30.1862,299.9,33,77,2.82,ZA,1728571531
356,nantucket,41.2835,-70.0995,286.21,67,0,8.75,US,1728571418
357,andovoranto,-18.95,49.1,294.76,74,5,2.39,MG,1728571534
358,tobol,52.6844,62.5794,282.53,50,100,9.82,KZ,1728571535
359,pangai,-19.8,-174.35,297.59,83,86,6.39,TO,1728571536
360,puerto santa,-8.9906,-78.6456,291.26,87,99,3.84,PE,1728571538
